date,track_name,artist_name,uri,link,uri_real,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
"September 4, 2022 at 02:09AM",Might Might Not,Sure Sure,3bm4F6lQWj9twJmk5cHgPG,https://open.spotify.com/track/3bm4F6lQWj9twJmk5cHgPG,spotify:track:3bm4F6lQWj9twJmk5cHgPG,0.778,0.538,9,-7.849,0.0534,0.367,0.302,0.141,0.912,121.987,194773
"September 4, 2022 at 02:12AM",Egodeath,Waldo Witt,4AvbdQO87ehD583XGXjXN8,https://open.spotify.com/track/4AvbdQO87ehD583XGXjXN8,spotify:track:4AvbdQO87ehD583XGXjXN8,0.68,0.799,9,-6.571,0.0503,0.0551,1.37e-06,0.147,0.721,116.195,183653
"September 4, 2022 at 02:15AM",Doublin' Up,Okey Dokey,68syRihVbx1HfpBVTx9f6N,https://open.spotify.com/track/68syRihVbx1HfpBVTx9f6N,spotify:track:68syRihVbx1HfpBVTx9f6N,0.605,0.63,2,-5.438,0.0267,0.155,2.99e-05,0.0954,0.792,85.337,205846
"September 4, 2022 at 02:20AM",Brain Abroad,Cousin Kula,438KohZeI9ZCeNU99wfQ8v,https://open.spotify.com/track/438KohZeI9ZCeNU99wfQ8v,spotify:track:438KohZeI9ZCeNU99wfQ8v,0.564,0.454,11,-8.218,0.0296,0.383,0.00175,0.0938,0.354,137.118,278971
"September 4, 2022 at 02:23AM",Light on the Moon,Camp Howard,2QB43rWH7CWaunxGQ5XTUc,https://open.spotify.com/track/2QB43rWH7CWaunxGQ5XTUc,spotify:track:2QB43rWH7CWaunxGQ5XTUc,0.29,0.71,6,-8.004,0.0406,0.0722,0.00511,0.226,0.303,160.207,223853
"September 4, 2022 at 02:27AM",Normal Now,Limón Limón,5dGopNcjGv5pfMkUaizzUv,https://open.spotify.com/track/5dGopNcjGv5pfMkUaizzUv,spotify:track:5dGopNcjGv5pfMkUaizzUv,0.682,0.715,6,-8.019,0.0481,0.0331,0.189,0.0861,0.836,160.031,215881
"September 4, 2022 at 02:31AM",Conversations,Exit 27,3oavXZM4R43h61LOaL21Ff,https://open.spotify.com/track/3oavXZM4R43h61LOaL21Ff,spotify:track:3oavXZM4R43h61LOaL21Ff,0.665,0.767,0,-6.794,0.0371,0.179,0.151,0.373,0.689,112.074,256537
"September 4, 2022 at 02:35AM",Enough,Dad Bod,2yAlEL6HQg8tbZ7vRio4Rc,https://open.spotify.com/track/2yAlEL6HQg8tbZ7vRio4Rc,spotify:track:2yAlEL6HQg8tbZ7vRio4Rc,0.692,0.475,9,-7.469,0.0413,0.103,0.0028,0.0828,0.145,119.864,212000
"September 4, 2022 at 02:39AM",Million Air,Speelburg,4cYseoncRHTWcAZsZlmJS7,https://open.spotify.com/track/4cYseoncRHTWcAZsZlmJS7,spotify:track:4cYseoncRHTWcAZsZlmJS7,0.743,0.374,5,-7.601,0.0452,0.479,0.0528,0.313,0.413,77.0,255909
"September 4, 2022 at 02:42AM",What's It Like?,Sure Sure,4BmxmpDirl9pVF9NuQVwXk,https://open.spotify.com/track/4BmxmpDirl9pVF9NuQVwXk,spotify:track:4BmxmpDirl9pVF9NuQVwXk,0.863,0.376,9,-7.782,0.0497,0.00231,0.076,0.0763,0.889,121.16,194853
